,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,92,NZ,1546739317,94,-46.19,168.86,58.07,8.3
1,Kolosovka,56,RU,1546739643,80,56.47,73.61,10.64,11.99
2,Half Moon Bay,90,US,1546738800,81,37.46,-122.43,55.94,10.29
3,Albany,40,US,1546737420,81,42.65,-73.75,35.6,4.7
4,Perehonivka,90,UA,1546738200,92,49.98,30.49,23.0,6.71
5,Kapaa,40,US,1546736160,56,22.08,-159.32,82.04,12.75
6,Marand,40,IR,1546738200,86,38.43,45.77,26.6,2.24
7,Busselton,0,AU,1546739320,70,-33.64,115.35,78.95,5.95
8,Kahului,20,US,1546736160,52,20.89,-156.47,82.04,14.99
9,Hermanus,32,ZA,1546739327,99,-34.42,19.24,52.18,3.6
10,Butaritari,88,KI,1546739360,100,3.07,172.79,81.07,13.22
11,Kaitangata,92,NZ,1546739322,100,-46.28,169.85,55.6,9.42
12,Bairnsdale,12,AU,1546739645,75,-37.83,147.63,70.67,3.71
13,Airai,24,TL,1546739417,71,-8.93,125.41,83.95,2.26
14,Puro,56,PH,1546739646,76,13.13,123.76,79.99,13.78
15,Olinda,40,EC,1546736400,74,-2.03,-79.75,82.4,9.17
16,Provideniya,24,RU,1546739346,100,64.42,-173.23,0.88,28.66
17,Torbay,90,CA,1546737480,100,47.66,-52.73,32.0,8.05
18,Tuatapere,92,NZ,1546739535,91,-46.13,167.69,58.57,9.98
19,Abu Dhabi,0,AE,1546736400,93,24.47,54.37,64.4,4.7
20,Qiongshan,90,CN,1546736400,100,20.01,110.35,68.0,8.95
21,Chhapar,92,IN,1546739647,92,27.82,74.44,50.11,7.74
22,Cape Town,0,ZA,1546736400,77,-33.93,18.42,64.4,14.99
23,Port Alfred,76,ZA,1546739332,87,-33.59,26.89,66.44,10.76
24,Dikson,12,RU,1546739354,100,73.51,80.55,-6.69,16.02
25,Qaanaaq,8,GL,1546739330,85,77.48,-69.36,-2.91,6.96
26,Vostochnyy,90,RU,1546738200,92,55.82,37.87,19.4,4.47
27,Coquimbo,0,CL,1546736400,72,-29.95,-71.34,62.6,5.82
28,Rikitea,92,PF,1546739318,96,-23.12,-134.97,79.99,15.79
29,San Patricio,88,PY,1546739400,92,-26.98,-56.83,74.5,4.16
30,Monrovia,20,LR,1546738200,94,6.33,-10.8,75.2,2.26
31,Bereda,0,ES,1546738200,100,43.27,-7.54,30.2,5.82
32,Bluff,12,AU,1546739339,37,-23.58,149.07,94.03,10.76
33,Vaini,0,IN,1546736400,66,15.34,74.49,62.6,5.73
34,Sao Filipe,0,CV,1546739356,97,14.9,-24.5,73.06,11.21
35,Upernavik,0,GL,1546739334,95,72.79,-56.15,5.02,9.42
36,Punta Arenas,40,CL,1546736400,70,-53.16,-70.91,46.4,16.11
37,Tiksi,36,RU,1546739340,54,71.64,128.87,-18.88,7.18
38,San Lorenzo,36,HN,1546739651,66,13.43,-87.45,86.02,15.57
39,Cabo San Lucas,40,MX,1546735560,73,22.89,-109.91,71.6,4.7
40,Saint-Augustin,0,FR,1546736400,100,44.83,-0.61,30.2,3.36
41,Cobija,0,BR,1546739651,71,-11.02,-68.77,79.9,3.49
42,Vaitape,88,PF,1546739355,95,-16.52,-151.75,85.12,11.77
43,Vostok,44,RU,1546739355,60,46.45,135.83,0.29,4.38
44,Astoria,90,US,1546736100,79,46.19,-123.83,48.02,4.7
45,Utica,90,US,1546735980,81,43.1,-75.23,35.96,8.05
46,Tromso,75,NO,1546737600,86,69.65,18.96,39.2,19.46
47,Ende,36,ID,1546739653,100,-8.84,121.65,81.43,4.83
48,Arraial do Cabo,0,BR,1546739336,94,-22.97,-42.02,77.15,5.28
49,Qaqortoq,88,GL,1546739409,88,60.72,-46.03,30.58,15.46
50,Avarua,75,CK,1546736400,61,-21.21,-159.78,82.4,3.36
51,Adrar,0,DZ,1546736400,48,27.87,-0.29,42.8,10.29
52,Nikolskoye,75,RU,1546738200,79,59.7,30.79,19.4,4.47
53,Saskylakh,8,RU,1546739387,57,71.97,114.09,-32.79,3.15
54,Kassala,0,SD,1546739479,88,15.45,36.38,57.22,4.27
55,Fukue,75,JP,1546736400,45,35.03,136.69,44.6,13.87
56,Nattam,40,IN,1546738200,88,12.7,79.97,69.8,2.24
57,Port Blair,92,IN,1546739399,100,11.67,92.75,77.38,34.92
58,Ribeira Grande,92,PT,1546739341,100,38.52,-28.7,62.89,28.77
59,Payo,76,ID,1546739654,99,-3.75,103.64,78.5,2.26
60,Amazar,12,RU,1546739655,56,53.86,120.88,-20.91,2.37
61,Ambon,90,FR,1546736400,86,47.55,-2.56,39.2,3.36
62,Georgetown,20,GY,1546736400,94,6.8,-58.16,75.2,6.93
63,Bethel,20,US,1546737960,84,60.79,-161.76,8.6,8.05
64,Severo-Kurilsk,68,RU,1546739339,100,50.68,156.12,22.12,8.52
65,Hilo,40,US,1546735980,62,19.71,-155.08,77.0,10.29
66,Ponta do Sol,80,BR,1546739356,99,-20.63,-46.0,64.33,1.92
67,Jawhar,0,IN,1546739656,74,19.91,73.23,55.06,2.37
68,Sao Jose da Coroa Grande,88,BR,1546739656,93,-8.9,-35.15,76.93,4.94
69,Saldanha,0,PT,1546739373,71,41.42,-6.55,18.61,2.71
70,Chimbote,24,PE,1546739656,94,-9.08,-78.59,69.46,2.15
71,Vestmanna,76,FO,1546737600,70,62.16,-7.17,42.8,18.34
72,Ushuaia,40,AR,1546736400,53,-54.81,-68.31,50.0,9.17
73,Mahajanga,40,MG,1546736400,94,-15.72,46.32,77.0,6.93
74,Barrow,48,AR,1546739326,47,-38.31,-60.23,78.32,16.46
75,Sao Joao da Barra,36,BR,1546739476,95,-21.64,-41.05,80.57,19.26
76,Prince Rupert,90,CA,1546736400,93,54.32,-130.32,37.4,3.36
77,Yeppoon,40,AU,1546738200,55,-23.13,150.74,86.0,11.41
78,New Norfolk,40,AU,1546738200,35,-42.78,147.06,69.8,16.11
79,Hamilton,75,BM,1546737180,83,32.3,-64.78,73.4,29.97
80,Boyolangu,0,ID,1546739455,60,-8.09,111.9,87.14,3.6
81,Port Elizabeth,1,US,1546736160,92,39.31,-74.98,46.04,9.17
82,Alyangula,40,AU,1546736400,62,-13.85,136.42,89.6,8.05
83,Guerrero Negro,92,MX,1546739517,100,27.97,-114.04,53.57,3.71
84,Pangnirtung,80,CA,1546739325,78,66.15,-65.72,-8.35,7.07
85,Mahanoro,36,MG,1546739659,96,-19.9,48.8,75.62,2.93
86,Sakti,0,IN,1546739660,77,22.03,82.96,60.14,2.93
87,Beyneu,56,KZ,1546739660,94,45.32,55.19,21.94,7.85
88,Ibra,8,OM,1546739660,100,22.69,58.55,53.26,2.48
89,Longyearbyen,75,NO,1546735800,73,78.22,15.63,24.8,18.34
90,Saint George,20,GR,1546735800,92,39.45,22.34,28.4,4.7
91,La Ronge,5,CA,1546736400,91,55.1,-105.3,-7.61,4.7
92,Bangui,0,CF,1546736400,88,4.39,18.55,69.8,5.5
93,Starkville,1,US,1546738500,100,33.45,-88.82,48.92,2.59
94,Carnarvon,0,ZA,1546739336,50,-30.97,22.13,56.54,10.65
95,Pacific Grove,75,US,1546737600,82,36.62,-121.92,55.04,11.41
96,Stillwater,1,US,1546737300,90,36.12,-97.06,53.96,11.43
97,Luderitz,0,NA,1546739374,81,-26.65,15.16,58.48,13.67
98,Padang,56,ID,1546739455,100,-0.92,100.36,79.36,5.39
99,Griffith,0,AU,1546736400,24,-34.29,146.06,78.8,12.75
100,Staryy Nadym,20,RU,1546739493,75,65.61,72.68,-2.86,13.33
